_id,review_scores_value,RatingPrediccion_scaled
10115921.0,7.0,4.932071369312133
10782351.0,10.0,10.0
11796483.0,8.0,0.0
12857841.0,9.0,7.312795861452313
14173253.0,9.0,7.823064461528895
14146422.0,10.0,10.0
14385513.0,10.0,6.938394522751466
14360913.0,10.0,10.0
1503655.0,10.0,10.0
1550449.0,9.0,8.265401369312134
1560753.0,10.0,10.0
15963882.0,6.0,8.469197261375733
16155960.0,10.0,6.360197291987017
16241397.0,9.0,5.867299315343933
1676806.0,10.0,10.0
18137446.0,10.0,7.938706683039594
17897640.0,10.0,6.938394522751466
19559597.0,9.0,8.503420553894019
19585860.0,10.0,5.203795892063599
21174788.0,9.0,6.66667
21061587.0,10.0,6.938394522751466
21155900.0,7.0,6.632700684656068
21497042.0,10.0,10.0
21493665.0,10.0,9.653080273862429
21654414.0,9.0,8.333329999999998
21954331.0,10.0,8.265401369312134
21686582.0,10.0,10.0
23219274.0,10.0,10.0
23298687.0,8.0,3.6990510269841
23755792.0,10.0,0.0
24492886.0,7.0,2.6018979460317992
25134372.0,10.0,5.203795892063599
24418052.0,10.0,9.132700684656069
25241699.0,10.0,10.0
24298167.0,10.0,7.764840591221098
251414.0,10.0,10.0
24755982.0,10.0,0.0
25239252.0,10.0,10.0
24652972.0,9.0,6.081518356825439
2538085.0,10.0,10.0
25570581.0,7.0,7.469197261375733
25723457.0,10.0,7.6018979460318
25845370.0,10.0,8.469197261375733
25819967.0,10.0,8.469197261375733
25881010.0,10.0,10.0
27452326.0,2.0,0.0
26712529.0,10.0,8.035547603703767
27383511.0,6.0,4.132700684656066
26669415.0,8.0,6.530802738624267
27226157.0,10.0,6.224330030611284
27156355.0,9.0,7.588107784637145
28603723.0,10.0,8.469197261375733
28997335.0,8.0,6.938394522751466
28307606.0,10.0,10.0
290608.0,10.0,10.0
29274583.0,10.0,6.938394522751466
27675306.0,9.0,9.017773801851884
27942191.0,10.0,6.938394522751466
28475232.0,8.0,10.0
29249672.0,9.0,7.653080273862426
27794194.0,10.0,8.469197261375733
28911645.0,10.0,10.0
29358615.0,10.0,10.0
29432887.0,8.0,10.0
29562736.0,10.0,10.0
27586912.0,10.0,10.0
28848228.0,9.0,5.067928630687866
28055051.0,10.0,6.90047448650795
28214469.0,8.0,6.938394522751466
29110619.0,10.0,10.0
27873052.0,10.0,7.5
28197193.0,9.0,0.0
29078967.0,10.0,8.75
29508303.0,10.0,10.0
29877023.0,10.0,10.0
28508345.0,8.0,0.0
29456207.0,8.0,10.0
28250649.0,8.0,4.778833484502904
30194213.0,9.0,8.84359860007658
30671405.0,10.0,6.530802738624267
30361820.0,10.0,6.66667
30259670.0,10.0,0.0
30222713.0,8.0,1.734598630687866
30242109.0,10.0,10.0
30973353.0,10.0,0.0
30921897.0,9.0,7.168248288359833
30876582.0,10.0,6.530802738624267
30978373.0,10.0,0.0
31507104.0,9.0,5.867299315343933
32008854.0,10.0,10.0
31036628.0,10.0,10.0
31644399.0,10.0,10.0
31208538.0,10.0,10.0
31167868.0,10.0,10.0
32174629.0,10.0,10.0
3335550.0,8.0,10.0
3410502.0,10.0,10.0
4846619.0,10.0,10.0
5186683.0,10.0,9.132700684656069
5555181.0,10.0,5.203795892063599
6242962.0,9.0,7.52037958920636
6534803.0,10.0,10.0
6627075.0,9.0,6.3009489730159
7427199.0,9.0,9.04075917841272
,MSE,10.91463476682851
